                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.47239,                0.34537,                 1.0135,                0.94959,                0.95367,                0.96833,                0.91399,                0.35966,                0.27872,                0.91768,             0.00010562,             0.00010562,             0.00010562
                     37,                0.45739,                0.33909,                  1.004,                0.96584,                0.95394,                0.97918,                0.92139,                0.35729,                 0.2611,                0.91235,              0.0001015,              0.0001015,              0.0001015
                     38,                0.45475,                0.34586,                 1.0017,                0.96363,                 0.9681,                0.97865,                0.92774,                0.34358,                 0.2482,                0.90661,             9.7375e-05,             9.7375e-05,             9.7375e-05
                     39,                0.45232,                0.33842,                 1.0077,                0.97131,                0.94957,                 0.9787,                0.92361,                0.35576,                0.26553,                0.91175,              9.325e-05,              9.325e-05,              9.325e-05
                     40,                0.45843,                0.32991,                 1.0051,                0.96554,                0.95623,                0.97742,                0.92567,                0.34006,                0.25655,                0.89956,             8.9125e-05,             8.9125e-05,             8.9125e-05
                     41,                 0.4442,                0.32938,                0.99765,                0.96268,                0.94941,                0.97446,                0.92155,                0.33812,                 0.2577,                 0.8986,                8.5e-05,                8.5e-05,                8.5e-05
                     42,                0.43694,                0.32365,                0.99777,                0.96771,                0.94734,                0.97045,                0.92226,                0.33463,                0.26261,                0.90035,             8.0875e-05,             8.0875e-05,             8.0875e-05
                     43,                0.43802,                0.31447,                0.99452,                0.95881,                0.95886,                0.97067,                0.92175,                0.33546,                 0.2587,                0.90667,              7.675e-05,              7.675e-05,              7.675e-05
                     44,                0.42804,                 0.3139,                0.99085,                0.96231,                0.95295,                0.97611,                0.91817,                0.35396,                0.25962,                0.92242,             7.2625e-05,             7.2625e-05,             7.2625e-05
                     45,                0.41642,                0.30239,                0.98313,                0.96766,                0.95755,                0.97416,                0.92474,                0.34624,                0.25618,                0.92884,               6.85e-05,               6.85e-05,               6.85e-05
                     46,                0.42076,                0.29929,                0.99038,                0.96811,                0.95035,                0.97129,                0.92212,                0.34243,                0.25712,                0.91398,             6.4375e-05,             6.4375e-05,             6.4375e-05
                     47,                0.41849,                0.29785,                0.98741,                0.96597,                0.95737,                0.97635,                 0.9264,                0.33516,                0.24346,                0.90655,              6.025e-05,              6.025e-05,              6.025e-05
                     48,                0.40436,                0.29123,                0.98112,                0.96565,                0.96012,                0.97317,                0.92719,                0.34324,                0.24081,                0.91823,             5.6125e-05,             5.6125e-05,             5.6125e-05
                     49,                0.40257,                0.28728,                0.97932,                0.96994,                0.95899,                0.97764,                0.92433,                0.34496,                0.23775,                0.92218,                5.2e-05,                5.2e-05,                5.2e-05
                     50,                0.39881,                0.27391,                0.97449,                0.96713,                0.96044,                0.97839,                0.92912,                0.33203,                0.24224,                0.90524,             4.7875e-05,             4.7875e-05,             4.7875e-05
                     51,                0.20919,                0.15382,                0.84375,                0.97656,                 0.9599,                0.98138,                0.93329,                0.31686,                0.22054,                0.89682,              4.375e-05,              4.375e-05,              4.375e-05
                     52,                0.20213,                0.14588,                0.84318,                0.97146,                0.95261,                0.97559,                0.93106,                0.32206,                0.23282,                0.90413,             3.9625e-05,             3.9625e-05,             3.9625e-05
                     53,                0.19942,                0.14437,                 0.8427,                0.96235,                 0.9546,                0.97837,                0.93315,                0.32064,                0.23898,                0.90714,               3.55e-05,               3.55e-05,               3.55e-05
                     54,                0.19446,                 0.1416,                0.83672,                0.96157,                0.94613,                0.97377,                0.92993,                0.30798,                0.25007,                0.90349,             3.1375e-05,             3.1375e-05,             3.1375e-05
                     55,                0.18641,                0.13461,                0.83365,                0.96461,                0.95247,                0.97233,                0.93085,                0.31166,                 0.2593,                 0.9094,              2.725e-05,              2.725e-05,              2.725e-05
                     56,                0.18401,                0.13076,                 0.8329,                0.96748,                 0.9511,                0.97493,                0.92912,                0.32163,                 0.2508,                0.91636,             2.3125e-05,             2.3125e-05,             2.3125e-05
                     57,                0.17822,                0.12671,                0.83523,                0.97074,                0.95576,                0.97668,                0.93124,                0.31313,                0.24292,                0.90965,                1.9e-05,                1.9e-05,                1.9e-05
                     58,                0.18006,                0.12654,                 0.8346,                0.96734,                0.95365,                0.97443,                0.93287,                0.30763,                0.23603,                0.90626,             1.4875e-05,             1.4875e-05,             1.4875e-05
                     59,                0.17187,                0.12228,                 0.8271,                0.96376,                0.94886,                0.97402,                0.93441,                0.30532,                0.24114,                0.90336,              1.075e-05,              1.075e-05,              1.075e-05
                     60,                0.16937,                0.11978,                0.82769,                0.96826,                0.94931,                0.97439,                0.93576,                0.30515,                0.24101,                0.90182,              6.625e-06,              6.625e-06,              6.625e-06
