                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85595,                 2.6851,                 1.2722,                0.83699,                0.69429,                0.81959,                0.72385,                0.51681,                0.98599,                 1.0201,             8.2899e-05,             8.2899e-05,             8.2899e-05
                      2,                0.75327,                 1.2286,                 1.1702,                0.89899,                 0.8764,                0.94746,                0.86673,                 0.4133,                0.60402,                0.92685,             8.3947e-05,             8.3947e-05,             8.3947e-05
